,date,author,twitter_name,text,number_of_reply,number_of_retweets,number_of_likes,m1_notoxic,m1_insult,m1_obscenity,m1_threat,m1_dangerous,m2_neutral,m2_toxic,m3_no_emotion,m3_joy,m3_sadness,m3_surprise,m3_fear,m3_anger,m4_neutral,m4_happiness,m4_sadness,m4_enthusiasm,m4_fear,m4_anger,m4_disgust
0,2016-10-30T10:16:12.000Z,Виталий Матросов,@vit_matrosov,"Тренинг ""Управление конфликтом"" @ Семинар ""Благотворительность против рака"" @ Фонд ""Подари жизнь"" @ Москва",0,0,0,0.99910337,0.00071335846,0.00027099127,0.00015255377,0.22817513,0.930439,0.10373296,0.99043334,0.0045969104,0.005468997,0.0045000496,0.0051923622,0.005349821,0.98538554,0.0058138845,0.005619429,0.005057838,0.004997068,0.005879711,0.002904765
1,2016-10-25T07:52:13.000Z,Марцева Милана,@kp_milana,"На субботнике в фонде ""Подари жизнь""
#субботник#фондподарижизнь#благотоворительность#добро# https://instagram.com/p/BL-mpWfBake/",0,0,0,0.9958681,0.0038642057,0.00024628264,0.00066430453,0.70346713,0.957753,0.07210839,0.66048443,0.17482068,0.0027271644,0.0053240755,0.002250942,0.025030723,0.59510785,0.05161614,0.0071042744,0.020108428,0.013577117,0.37196863,0.011222596
2,2016-10-20T21:51:02.000Z,Евгения Малеваная,@EjonokEvgenia,благотворительный фонд подари жизнь презентация http://amnagarments.com/layouts/board/blagotvoritelnyy-fond-podari-zhizn-prezentaciya-ce.html…,0,0,0,0.9989064,0.0011527181,0.00022991736,0.00016379642,0.5860018,0.9781948,0.035129562,0.20940742,0.7338375,0.0023706034,0.015222681,0.0025953972,0.04163774,0.33713266,0.12809241,0.005586944,0.07124173,0.0069380603,0.310579,0.01039537
3,2016-10-20T08:31:43.000Z,Новости Улан-Удэ,@UlanUde_Novosti,Фонд «Подари мне жизнь»  вручил подарки осужденной для родившегося ребенка http://ift.tt/2eU5nAL,0,0,0,0.9997658,0.00027605027,0.00013000467,0.00021749547,0.28863516,0.9561413,0.08019254,0.94594383,0.031731542,0.001756635,0.006966658,0.0027523914,0.0073931674,0.81220883,0.066210695,0.0031518724,0.033642273,0.0036026821,0.05214763,0.005063985
4,2016-10-20T08:11:19.000Z,Новости России,@Russia_all_News,Фонд «Подари мне жизнь» вручил подарки осужденной для родившегося ребенка https://goo.gl/fb/j93O5h #Бурятия #Улан-Удэ,0,0,0,0.9995733,0.00056158926,0.0002000766,0.00036542537,0.5738812,0.9458012,0.09931419,0.8790501,0.06935868,0.0020480987,0.005457765,0.00265297,0.01632499,0.31172788,0.100364745,0.012316316,0.035802234,0.017190406,0.63816595,0.019009275
5,2016-10-19T20:32:55.000Z,"oh, (H)annah",@__Elbereth__,"Кружка из-под кофе с молоком недельной давности на столе.
Фонд ""Подари жизнь""",0,0,0,0.9996846,0.00033423046,0.00011996271,0.00013406326,0.17695151,0.9470253,0.07730452,0.9901203,0.0051632514,0.007601077,0.0047797477,0.004765859,0.005245812,0.97474617,0.0053636977,0.014326709,0.0035222683,0.0051695304,0.0072909305,0.0029940598
6,2016-10-17T19:07:32.000Z,dokb@dokb-orel.ru,@ClinicOrel,"фонд ""Подари жизнь"" передал в дар лаборатории НКМЦ автоматический анализатор лекарственного мониторинга Viva-E (Siemens)",0,1,0,0.99956316,0.0006193547,0.0006363716,0.00039680625,0.033694774,0.9702223,0.048114214,0.99127626,0.0048513245,0.0060705934,0.0051142047,0.005029707,0.005311578,0.98772895,0.0060759815,0.0075112456,0.0053959717,0.0053120265,0.00546629,0.003385808
7,2016-10-10T11:10:14.000Z,ТВ Центр,@tvc_ru,"Фонд ""Подари жизнь"" и ""ТВ Центр"" собирают средства на лечение Серёжи Сухорукова http://ru.1001hls.com/r5248350",0,0,0,0.9997321,0.0002844591,0.00011965173,0.00011564719,0.15685572,0.9635194,0.061070666,0.99079984,0.0054704007,0.0053896694,0.0049485588,0.0051170536,0.0051205163,0.98576075,0.0056606946,0.006747344,0.0050809337,0.0047676954,0.005803429,0.0030083077
8,2016-10-10T09:40:09.000Z,Новости на Zoomby.ru,@Zoombyru_News,"Фонд ""Подари жизнь"" и ""ТВ Центр"" собирают средства на лечение Серёжи Сухорукова http://zoomby.ru/watch/fond-podari-zhizn-i-tv-centr-sobirayut-sredstva-na-lechenie-serezhi-suhorukova?utm_source=twitter&utm_medium=link…",0,0,0,0.99512357,0.005404126,0.0005218703,0.00022128278,0.7596808,0.9408365,0.09904781,0.99038434,0.006141322,0.004957042,0.0046514682,0.00513539,0.005379539,0.9777815,0.0065315217,0.005242921,0.006479181,0.005076028,0.011408763,0.0032724068
9,2016-10-01T08:00:57.000Z,Gift of Life,@Giftoflifefund,"HAPPY BIRTHDAY, CHULPAN! Today is the birthday of famous actress, mother of three and Фонд Подари жизнь... http://fb.me/SofWKYfJ",0,0,0,0.99179584,0.007096912,0.00056384865,0.0003090205,0.7016562,0.18996058,0.6976328,0.014773562,0.9481621,0.004153302,0.034658358,0.015119988,0.02669718,0.06645773,0.051002745,0.01627217,0.023591517,0.054081198,0.5424912,0.011178622
